"Brewery_ID","BeerName","Beer_ID","ABV","IBU","Style","Ounces"
81,"Nonstop Hef Hop",2395,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2394,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2393,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2392,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2391,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2390,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2389,0.039,20,"American Pale Wheat Ale",16
81,"Rise Up Red",2388,0.058,60,"American Amber / Red Ale",16
81,"Survival Stout",2200,0.058,35,"American Stout",16
81,"Hopworks IPA",2199,0.066,75,"American IPA",16
81,"Abominable Winter Ale",2193,0.073,70,"American Strong Ale",16
81,"Pigwar White India Pale Ale",1398,0.06,60,"American White IPA",16
81,"Rise-Up Red (2014)",1085,0.058,60,"American Amber / Red Ale",16
81,"Abominable Winter Ale (2012)",916,0.073,70,"American Strong Ale",16
81,"HUB Lager",658,0.051,32,"Czech Pilsener",16
81,"Hopworks IPA (2012)",653,0.066,75,"American IPA",16
83,"Slow Ride",2475,0.045,40,"American IPA",12
83,"Ranger IPA",2230,0.065,70,"American IPA",12
83,"Shift",1987,0.05,29,"American Pale Lager",12
83,"1554 Black Lager",1978,0.056,21,"Euro Dark Lager",12
83,"Fat Tire Amber Ale",1586,0.052,18,"American Amber / Red Ale",12
83,"Shift (1)",952,0.05,29,"American Pale Lager",12
83,"Fat Tire Amber Ale (2011)",748,0.052,18,"American Amber / Red Ale",12
83,"Shift",578,0.05,29,"American Pale Lager",16
83,"Ranger IPA",564,0.065,70,"American IPA",16
83,"Fat Tire Amber Ale",563,0.052,18,"American Amber / Red Ale",16
83,"Ranger IPA (Current)",115,0.065,70,"American IPA",12
83,"Fat Tire Amber Ale (2008)",71,0.052,18,"American Amber / Red Ale",12
84,"Torpedo",2239,0.072,65,"American IPA",12
84,"Sierra Nevada Pale Ale",1905,0.056,37,"American Pale Ale (APA)",16
84,"Old Chico Crystal Wheat",1338,0.048,26,"American Pale Wheat Ale",12
84,"Summerfest",1295,0.05,28,"Czech Pilsener",12
84,"Torpedo",426,0.072,65,"American IPA",16
84,"Sierra Nevada Pale Ale",400,0.056,37,"American Pale Ale (APA)",12
87,"Captain's Daughter",2044,0.085,69,"American Double / Imperial IPA",12
88,"India Pale Ale",2460,0.063,65,"American IPA",16
88,"Blackberry Wheat",2459,0.048,11,"American Pale Wheat Ale",16
89,"312 Urban Pale Ale",2457,0.054,30,"American Pale Ale (APA)",16
89,"312 Urban Pale Ale",2202,0.054,30,"American Pale Ale (APA)",12
89,"312 Urban Wheat Ale",2201,0.042,18,"American Pale Wheat Ale",16
89,"312 Urban Wheat Ale",1829,0.042,18,"American Pale Wheat Ale",12
89,"312 Urban Wheat Ale (2012)",581,0.042,20,"American Pale Wheat Ale",12
92,"Sol Drifter",2209,0.043,18,"American Blonde Ale",12
92,"The Great Pumpcan",1994,0.079,18,"Fruit / Vegetable Beer",16
92,"LIFT",1816,0.047,11,"Kölsch",12
92,"SPRYE",1815,0.05,40,"American Pale Ale (APA)",12
92,"Psychopathy",1126,0.069,70,"American IPA",12
92,"Gnarly Brown",1125,0.07,32,"American Brown Ale",12
92,"Happy Amber",1124,0.06,30,"American Amber / Red Ale",12
94,"Hustle",2452,0.057,42,"American Amber / Red Ale",12
94,"Pure Fury",2451,0.055,42,"American Pale Ale (APA)",12
94,"Dad",2132,0.06,60,"American Amber / Red Ale",12
94,"Panther",1993,0.058,35,"American Porter",12
94,"Franz",1992,0.052,21,"Märzen / Oktoberfest",12
94,"Zen",1935,0.043,45,"American Pale Ale (APA)",12
94,"Truth",1852,0.072,75,"American IPA",12
94,"Cougar",1851,0.048,25,"American Blonde Ale",12
95,"Self Starter",2450,0.052,67,"American IPA",16
95,"Ermal's",2223,0.054,20,"Cream Ale",16
98,"Nugget Nectar",2444,0.075,93,"American Amber / Red Ale",16
98,"Sunshine Pils",2203,0.045,45,"American Pilsner",12
98,"Troegenator Doublebock",1510,0.082,25,"Doppelbock",16
98,"Perpetual IPA",1509,0.075,85,"American IPA",12
99,"Mission IPA",2441,0.068,66,"American IPA",32
99,"El Conquistador Extra Pale Ale",1460,0.048,44,"American Pale Ale (APA)",32
99,"Shipwrecked Double IPA",1459,0.092,75,"American Double / Imperial IPA",32
100,"Bay of Bengal Double IPA (2014)",2440,0.089,126,"American Double / Imperial IPA",12
102,"Rhode Island Blueberry",2438,0.046,11,"Kölsch",12
102,"Newport Storm IPA",2437,0.065,75,"American IPA",12
102,"Hurricane Amber Ale (2004)",751,0.052,24,"American Amber / Red Ale",12
102,"Hurricane Amber Ale",120,0.052,24,"American Amber / Red Ale",12
103,"King Street IPA",1667,0.06,70,"American IPA",12
103,"King Street Hefeweizen",1666,0.057,10,"Hefeweizen",12
104,"Watermelon Ale",2435,0.05,10,"Fruit / Vegetable Beer",12
104,"Fenway American Pale Ale",2423,0.058,45,"American Pale Ale (APA)",12
104,"Back Bay IPA",2420,0.068,85,"American IPA",12
104,"Bunker Hill Blueberry Ale",2419,0.048,16,"Other",12
105,"Peach Pale Ale",2434,0.057,40,"American Pale Ale (APA)",12
106,"Suncaster Summer Wheat",2427,0.05,28,"American Pale Wheat Ale",12
106,"Brass Knuckle Pale Ale",2425,0.057,36,"American Pale Ale (APA)",12
106,"Big Star White IPA",2424,0.07,70,"American White IPA",12
107,"Clean Shave IPA",2426,0.067,70,"American IPA",12
108,"Firestarter India Pale Ale",2422,0.066,72,"American IPA",12
108,"Kilt Dropper Scotch Ale",1727,0.075,22,"Scotch Ale / Wee Heavy",16
108,"Wood Splitter Pilsner",1614,0.048,30,"Czech Pilsener",16
108,"Gyptoberfest",1613,0.056,26,"Märzen / Oktoberfest",12
108,"Farmer Wirtz India Pale Ale",1549,0.07,94,"English India Pale Ale (IPA)",16
108,"Screaming Eagle Special Ale ESB",1360,0.048,38,"Extra Special / Strong Bitter (ESB)",12
108,"Kindler Pale Ale",1183,0.053,45,"American Pale Ale (APA)",12
108,"Firestarter India Pale Ale",633,0.066,72,"American IPA",16
109,"Watermelon Ale",2421,0.051,11,"Fruit / Vegetable Beer",12
110,"4000 Footer IPA",2417,0.065,82,"American IPA",12
